temperature,humidity,lux,co2,year,month,day,hour,minute,second
21.40,63.80,0.00,1610.00,2023,10,12,10,44,25
21.50,62.90,0.00,1408.00,2023,10,12,10,46,25
21.20,63.40,0.00,1378.00,2023,10,12,10,48,25
21.10,63.80,0.00,1369.00,2023,10,12,10,50,25
20.90,64.10,0.00,1361.00,2023,10,12,10,52,25
20.90,64.20,0.00,1358.00,2023,10,12,10,54,25
20.80,64.20,0.00,1349.00,2023,10,12,10,56,25
20.80,64.30,0.00,1189.00,2023,10,12,10,58,25
20.50,61.20,0.00,948.00,2023,10,12,11,0,25
20.50,59.10,0.00,894.00,2023,10,12,11,2,25
20.00,59.40,0.00,917.00,2023,10,12,11,4,25
19.70,59.40,0.00,861.00,2023,10,12,11,6,25
19.50,59.40,0.00,814.00,2023,10,12,11,8,25
19.40,59.30,0.00,779.00,2023,10,12,11,10,25
19.20,59.10,0.00,755.00,2023,10,12,11,12,25
19.00,59.10,0.00,727.00,2023,10,12,11,14,25
18.90,59.20,0.00,730.00,2023,10,12,11,16,25
18.90,59.20,0.00,723.00,2023,10,12,11,18,25
18.80,59.20,0.00,709.00,2023,10,12,11,20,25
18.70,59.20,0.00,708.00,2023,10,12,11,22,25
18.60,59.40,0.00,709.00,2023,10,12,11,24,25
18.60,59.50,0.00,707.00,2023,10,12,11,26,25
18.60,59.50,0.00,705.00,2023,10,12,11,28,25
18.50,59.50,0.00,697.00,2023,10,12,11,30,25
18.40,59.70,0.00,711.00,2023,10,12,11,32,25
18.40,60.10,0.00,732.00,2023,10,12,11,34,25
18.80,60.00,0.00,739.00,2023,10,12,11,36,25
19.30,59.30,0.00,727.00,2023,10,12,11,38,25
19.60,58.90,0.00,713.00,2023,10,12,11,40,25
19.90,58.60,0.00,718.00,2023,10,12,11,42,25
20.10,58.30,0.00,732.00,2023,10,12,11,44,25
20.20,57.90,0.00,734.00,2023,10,12,11,46,25
20.30,57.90,0.00,737.00,2023,10,12,11,48,25
20.40,57.90,0.00,734.00,2023,10,12,11,50,25
20.50,58.00,0.00,735.00,2023,10,12,11,52,25
20.50,58.00,0.00,745.00,2023,10,12,11,54,25
20.50,58.10,0.00,745.00,2023,10,12,11,56,25
20.60,58.30,0.00,745.00,2023,10,12,11,58,25
20.60,58.40,0.00,748.00,2023,10,12,12,0,25
20.60,58.40,0.00,744.00,2023,10,12,12,2,25
20.60,58.40,0.00,761.00,2023,10,12,12,4,25
20.60,58.50,0.00,758.00,2023,10,12,12,6,25
20.60,58.50,0.00,767.00,2023,10,12,12,8,25
20.60,58.60,0.00,765.00,2023,10,12,12,10,25
20.60,58.60,0.00,775.00,2023,10,12,12,12,25
20.60,58.60,3.00,778.00,2023,10,12,12,14,25
20.60,58.70,13.00,775.00,2023,10,12,12,16,25
20.70,58.60,29.00,772.00,2023,10,12,12,18,25
20.70,58.70,0.00,770.00,2023,10,12,12,20,25
20.70,58.70,0.00,785.00,2023,10,12,12,22,25
20.70,58.70,0.00,789.00,2023,10,12,12,24,25
20.70,58.70,0.00,781.00,2023,10,12,12,26,25
20.70,58.70,0.00,787.00,2023,10,12,12,28,25
20.70,58.70,0.00,780.00,2023,10,12,12,30,25
20.70,58.70,0.00,790.00,2023,10,12,12,32,25
20.80,58.70,0.00,791.00,2023,10,12,12,34,25
20.80,58.70,0.00,794.00,2023,10,12,12,36,25
20.80,58.70,0.00,791.00,2023,10,12,12,38,25
20.80,58.70,0.00,799.00,2023,10,12,12,40,25
20.80,58.60,0.00,795.00,2023,10,12,12,42,25
20.80,58.60,0.00,803.00,2023,10,12,12,44,25
20.80,58.60,0.00,805.00,2023,10,12,12,46,25
20.90,58.60,0.00,796.00,2023,10,12,12,48,25
20.90,58.60,0.00,805.00,2023,10,12,12,50,25
20.90,58.60,0.00,795.00,2023,10,12,12,52,25
20.90,58.60,0.00,795.00,2023,10,12,12,54,25
20.90,58.60,0.00,802.00,2023,10,12,12,56,25
20.90,58.60,0.00,795.00,2023,10,12,12,58,25
20.90,58.60,0.00,800.00,2023,10,12,13,0,25
20.90,58.60,0.00,794.00,2023,10,12,13,2,25
20.90,58.60,0.00,800.00,2023,10,12,13,4,25
20.90,58.70,0.00,803.00,2023,10,12,13,6,25
20.90,58.70,0.00,813.00,2023,10,12,13,8,25
20.90,58.80,0.00,818.00,2023,10,12,13,10,25
20.80,58.90,0.00,818.00,2023,10,12,13,12,25
20.80,59.00,0.00,845.00,2023,10,12,13,14,25
20.80,59.00,0.00,888.00,2023,10,12,13,16,25
20.80,59.20,0.00,934.00,2023,10,12,13,18,25
20.80,59.30,0.00,977.00,2023,10,12,13,20,25
20.80,59.40,0.00,1008.00,2023,10,12,13,22,25
20.80,59.50,0.00,1017.00,2023,10,12,13,24,25
20.80,59.60,0.00,1034.00,2023,10,12,13,26,25
20.80,59.80,0.00,1063.00,2023,10,12,13,28,25
20.90,59.70,0.00,1073.00,2023,10,12,13,30,25
20.90,59.60,0.00,1066.00,2023,10,12,13,32,25
21.00,59.50,0.00,1062.00,2023,10,12,13,34,25
21.00,59.40,0.00,1059.00,2023,10,12,13,36,25
21.00,59.50,0.00,1074.00,2023,10,12,13,38,25
21.00,59.50,0.00,1082.00,2023,10,12,13,40,25
21.00,59.60,0.00,1082.00,2023,10,12,13,42,25
21.00,59.60,0.00,1088.00,2023,10,12,13,44,25
21.00,59.50,0.00,1084.00,2023,10,12,13,46,25
21.00,59.50,0.00,1082.00,2023,10,12,13,48,25
21.00,59.50,9.00,1087.00,2023,10,12,13,50,25
21.00,59.40,0.00,1092.00,2023,10,12,13,52,25
21.00,59.50,0.00,1091.00,2023,10,12,13,54,25
21.00,59.50,0.00,1096.00,2023,10,12,13,56,25
21.00,59.50,5.00,1097.00,2023,10,12,13,58,25
21.00,59.40,0.00,1098.00,2023,10,12,14,0,25
21.10,59.50,0.00,1097.00,2023,10,12,14,2,25
21.00,59.50,0.00,1102.00,2023,10,12,14,4,25
21.10,59.40,48.00,1103.00,2023,10,12,14,6,25
21.10,59.40,83.00,1102.00,2023,10,12,14,8,25
21.10,59.50,81.00,1105.00,2023,10,12,14,10,25
21.10,59.40,48.00,1107.00,2023,10,12,14,12,25
21.10,59.40,61.00,1106.00,2023,10,12,14,14,25
21.10,59.40,100.00,1104.00,2023,10,12,14,16,25
21.00,59.50,53.00,1106.00,2023,10,12,14,18,25
21.10,59.50,14.00,1109.00,2023,10,12,14,20,25
21.10,59.40,0.00,1106.00,2023,10,12,14,22,25
21.10,59.40,0.00,1110.00,2023,10,12,14,24,25
21.10,59.50,0.00,1112.00,2023,10,12,14,26,25
21.00,59.50,0.00,1106.00,2023,10,12,14,28,25
21.10,59.50,31.00,1110.00,2023,10,12,14,30,25
21.10,59.50,97.00,1124.00,2023,10,12,14,32,25
21.10,59.50,81.00,1123.00,2023,10,12,14,34,25
21.10,59.50,62.00,1124.00,2023,10,12,14,36,25
21.10,59.50,70.00,1127.00,2023,10,12,14,38,25
21.10,59.40,81.00,1141.00,2023,10,12,14,40,25
21.10,59.50,44.00,1138.00,2023,10,12,14,42,25
21.10,59.50,0.00,1143.00,2023,10,12,14,44,25
21.10,59.50,66.00,1133.00,2023,10,12,14,46,25
21.00,59.70,39.00,1146.00,2023,10,12,14,48,25
21.00,59.70,48.00,1141.00,2023,10,12,14,50,25
21.00,59.70,77.00,1137.00,2023,10,12,14,52,25
21.00,59.70,96.00,1138.00,2023,10,12,14,54,25
21.00,59.70,95.00,1141.00,2023,10,12,14,56,25
21.00,59.70,182.00,1144.00,2023,10,12,14,58,25
21.00,59.70,174.00,1144.00,2023,10,12,15,0,25
21.10,59.70,131.00,1145.00,2023,10,12,15,2,25
21.10,59.70,53.00,1146.00,2023,10,12,15,4,25
21.10,59.70,109.00,1145.00,2023,10,12,15,6,25
21.10,59.70,102.00,1147.00,2023,10,12,15,8,25
21.10,59.70,46.00,1149.00,2023,10,12,15,10,25
21.10,59.70,14.00,1147.00,2023,10,12,15,12,25
21.10,59.70,0.00,1150.00,2023,10,12,15,14,25
21.10,59.70,2.00,1154.00,2023,10,12,15,16,25
21.10,59.70,41.00,1153.00,2023,10,12,15,18,25
21.10,59.70,16.00,1156.00,2023,10,12,15,20,25
21.10,59.70,15.00,1159.00,2023,10,12,15,22,25
21.10,59.70,15.00,1151.00,2023,10,12,15,24,25
21.20,59.60,21.00,1162.00,2023,10,12,15,26,25
21.20,59.60,33.00,1158.00,2023,10,12,15,28,25
21.10,59.70,80.00,1160.00,2023,10,12,15,30,25
21.10,59.70,115.00,1155.00,2023,10,12,15,32,25
21.10,59.70,79.00,1162.00,2023,10,12,15,34,25
21.20,59.60,101.00,1161.00,2023,10,12,15,36,25
21.20,59.60,813.00,1159.00,2023,10,12,15,38,25
21.20,59.60,80.00,1162.00,2023,10,12,15,40,25
21.20,59.60,30.00,1172.00,2023,10,12,15,42,25
21.20,59.60,0.00,1160.00,2023,10,12,15,44,25
21.20,59.60,0.00,1164.00,2023,10,12,15,46,25
21.20,59.70,0.00,1162.00,2023,10,12,15,48,25
21.20,59.70,0.00,1167.00,2023,10,12,15,50,25
21.20,59.70,0.00,1168.00,2023,10,12,15,52,25
21.10,59.70,0.00,1175.00,2023,10,12,15,54,25
21.10,59.70,0.00,1167.00,2023,10,12,15,56,25
21.10,59.70,77.00,1174.00,2023,10,12,15,58,25
21.10,59.70,98.00,1180.00,2023,10,12,16,0,25
21.20,59.70,32.00,1177.00,2023,10,12,16,2,25
21.10,59.70,0.00,1177.00,2023,10,12,16,4,25
21.10,59.80,0.00,1178.00,2023,10,12,16,6,25
21.10,59.80,0.00,1177.00,2023,10,12,16,8,25
21.10,59.80,0.00,1177.00,2023,10,12,16,10,25
21.10,59.80,0.00,1180.00,2023,10,12,16,12,25
21.10,59.70,0.00,1177.00,2023,10,12,16,14,25
21.10,59.70,2.00,1197.00,2023,10,12,16,16,25
21.10,59.80,41.00,1227.00,2023,10,12,16,18,25
21.10,59.80,43.00,1241.00,2023,10,12,16,20,25
21.10,59.80,27.00,1271.00,2023,10,12,16,22,25
21.10,60.00,23.00,1299.00,2023,10,12,16,24,25
21.10,59.90,21.00,1306.00,2023,10,12,16,26,25
21.10,59.90,17.00,1324.00,2023,10,12,16,28,25
21.10,60.00,3.00,1335.00,2023,10,12,16,30,25
21.10,60.00,14.00,1340.00,2023,10,12,16,32,25
21.10,60.00,0.00,1347.00,2023,10,12,16,34,25
21.10,60.00,0.00,1356.00,2023,10,12,16,36,25
21.10,60.10,0.00,1367.00,2023,10,12,16,38,25
21.10,60.00,0.00,1374.00,2023,10,12,16,40,25
21.10,60.10,0.00,1383.00,2023,10,12,16,42,25
21.10,60.00,0.00,1397.00,2023,10,12,16,44,25
21.10,60.10,0.00,1400.00,2023,10,12,16,46,25
21.10,60.10,0.00,1416.00,2023,10,12,16,48,25
21.10,60.10,0.00,1417.00,2023,10,12,16,50,25
21.10,60.30,0.00,1449.00,2023,10,12,16,52,25
21.10,60.60,0.00,1459.00,2023,10,12,16,54,25
21.00,60.60,0.00,1471.00,2023,10,12,16,56,25
21.00,60.60,0.00,1476.00,2023,10,12,16,58,25
21.00,60.60,0.00,1491.00,2023,10,12,17,0,25
21.00,60.90,0.00,1437.00,2023,10,12,17,2,25
21.00,59.40,0.00,1059.00,2023,10,12,17,4,25
20.60,57.80,0.00,884.00,2023,10,12,17,6,25
20.20,58.20,0.00,842.00,2023,10,12,17,8,25
19.90,58.40,0.00,781.00,2023,10,12,17,10,25
19.70,58.60,0.00,753.00,2023,10,12,17,12,25
19.50,58.80,0.00,740.00,2023,10,12,17,14,25
19.50,58.70,0.00,725.00,2023,10,12,17,16,25
19.40,58.80,0.00,723.00,2023,10,12,17,18,25
19.40,58.80,0.00,711.00,2023,10,12,17,20,25
19.40,58.70,0.00,698.00,2023,10,12,17,22,25
19.30,58.80,0.00,691.00,2023,10,12,17,24,25
19.30,58.70,0.00,688.00,2023,10,12,17,26,25
19.20,58.70,0.00,683.00,2023,10,12,17,28,25
19.20,58.70,0.00,678.00,2023,10,12,17,30,25
19.20,58.60,0.00,675.00,2023,10,12,17,32,25
19.20,58.70,0.00,675.00,2023,10,12,17,34,25
19.10,58.70,0.00,673.00,2023,10,12,17,36,25
19.00,58.70,0.00,672.00,2023,10,12,17,38,25
19.10,58.70,0.00,676.00,2023,10,12,17,40,25
19.00,58.70,0.00,669.00,2023,10,12,17,42,25
19.00,58.90,0.00,684.00,2023,10,12,17,44,25
19.10,59.10,0.00,688.00,2023,10,12,17,46,25
19.40,58.70,0.00,687.00,2023,10,12,17,48,25
19.60,58.30,0.00,687.00,2023,10,12,17,50,25
19.80,58.00,0.00,689.00,2023,10,12,17,52,25
20.00,57.70,0.00,691.00,2023,10,12,17,54,25
20.10,57.60,0.00,697.00,2023,10,12,17,56,25
20.20,57.80,0.00,699.00,2023,10,12,17,58,25
20.30,57.90,0.00,702.00,2023,10,12,18,0,25
20.30,57.90,0.00,705.00,2023,10,12,18,2,25
20.30,58.00,0.00,706.00,2023,10,12,18,4,25
20.40,57.80,0.00,710.00,2023,10,12,18,6,25
20.30,57.80,0.00,710.00,2023,10,12,18,8,25
20.50,57.80,0.00,706.00,2023,10,12,18,10,25
20.50,57.80,0.00,710.00,2023,10,12,18,12,25
20.50,57.90,0.00,715.00,2023,10,12,18,14,25
20.50,57.90,0.00,719.00,2023,10,12,18,16,25
20.50,58.00,115.00,719.00,2023,10,12,18,18,25
20.50,58.10,114.00,723.00,2023,10,12,18,20,25
20.50,58.20,101.00,743.00,2023,10,12,18,22,25
20.50,58.60,97.00,824.00,2023,10,12,18,24,25
20.50,58.90,85.00,875.00,2023,10,12,18,26,25
20.60,58.80,80.00,898.00,2023,10,12,18,28,25
20.60,59.10,94.00,943.00,2023,10,12,18,30,25
